day,rate,sales,revenue,name
0.0,25.0,21.0,525.0,sale-1
1.0,25.0,26.0,1175.0,sale-1
2.0,,27.0,1850.0,sale-1
3.0,25.0,29.0,2575.0,sale-1
4.0,25.0,31.0,3350.0,sale-1
5.0,25.0,34.0,4200.0,sale-1
6.0,25.0,40.0,5200.0,sale-1
7.0,25.0,45.0,,sale-1
8.0,25.0,53.0,7650.0,sale-1
9.0,25.0,59.0,9125.0,sale-1
10.0,25.0,63.0,10700.0,sale-1
11.0,25.0,69.0,12425.0,sale-1
12.0,25.0,,-100.0,sale-1
13.0,25.0,79.0,16250.0,sale-1
14.0,25.0,86.0,18400.0,sale-1
15.0,25.0,92.0,20700.0,sale-1
16.0,25.0,99.0,23175.0,sale-1
-100.0,25.0,103.0,25750.0,sale-1
18.0,25.0,107.0,28425.0,sale-1
19.0,25.0,111.0,31200.0,sale-1
20.0,25.0,-100.0,34050.0,sale-1
21.0,25.0,116.0,36950.0,sale-1
22.0,25.0,-100.0,39900.0,sale-1
23.0,25.0,121.0,42925.0,sale-1
24.0,,124.0,46025.0,sale-1
25.0,25.0,124.0,49125.0,sale-1
26.0,25.0,126.0,52275.0,
27.0,,129.0,55500.0,sale-1
28.0,25.0,130.0,58750.0,sale-1
29.0,25.0,137.0,,sale-1
30.0,25.0,140.0,-100.0,sale-1
-100.0,25.0,145.0,,sale-1
32.0,25.0,-100.0,72950.0,sale-1
33.0,25.0,149.0,76675.0,sale-1
34.0,25.0,150.0,-100.0,sale-1
0.0,50.0,21.0,1050.0,sale-2
1.0,50.0,26.0,2350.0,sale-2
2.0,,27.0,3700.0,sale-2
3.0,50.0,29.0,5150.0,sale-2
4.0,50.0,31.0,6700.0,sale-2
5.0,50.0,34.0,8400.0,sale-2
6.0,50.0,40.0,10400.0,sale-2
7.0,50.0,45.0,,sale-2
8.0,50.0,53.0,15300.0,sale-2
9.0,50.0,59.0,18250.0,sale-2
10.0,50.0,63.0,21400.0,sale-2
11.0,50.0,69.0,24850.0,sale-2
12.0,50.0,,-100.0,sale-2
13.0,50.0,79.0,32500.0,sale-2
14.0,50.0,86.0,36800.0,sale-2
15.0,50.0,92.0,41400.0,sale-2
16.0,50.0,99.0,46350.0,sale-2
-100.0,50.0,103.0,51500.0,sale-2
18.0,50.0,107.0,56850.0,sale-2
19.0,50.0,111.0,62400.0,sale-2
20.0,50.0,-100.0,68100.0,sale-2
21.0,50.0,116.0,73900.0,sale-2
22.0,50.0,-100.0,79800.0,sale-2
23.0,50.0,121.0,85850.0,sale-2
24.0,,124.0,92050.0,sale-2
25.0,50.0,124.0,98250.0,sale-2
26.0,50.0,126.0,104550.0,
27.0,,129.0,111000.0,sale-2
28.0,50.0,130.0,117500.0,sale-2
29.0,50.0,137.0,,sale-2
30.0,50.0,140.0,-100.0,sale-2
-100.0,50.0,145.0,,sale-2
32.0,50.0,-100.0,145900.0,sale-2
33.0,50.0,149.0,153350.0,sale-2
34.0,50.0,150.0,-100.0,sale-2
0.0,100.0,21.0,2100.0,sale-3
1.0,100.0,26.0,4700.0,sale-3
2.0,,27.0,7400.0,sale-3
3.0,100.0,29.0,10300.0,sale-3
4.0,100.0,30.0,13300.0,sale-3
5.0,100.0,33.0,16600.0,sale-3
6.0,100.0,39.0,20500.0,sale-3
7.0,100.0,44.0,,sale-3
8.0,100.0,52.0,30100.0,sale-3
9.0,100.0,58.0,35900.0,sale-3
10.0,100.0,62.0,42100.0,sale-3
11.0,100.0,68.0,48900.0,sale-3
12.0,100.0,,-100.0,sale-3
13.0,100.0,78.0,64000.0,sale-3
14.0,100.0,85.0,72500.0,sale-3
15.0,100.0,91.0,81600.0,sale-3
16.0,100.0,98.0,91400.0,sale-3
-100.0,100.0,102.0,101600.0,sale-3
18.0,100.0,106.0,112200.0,sale-3
19.0,100.0,110.0,123200.0,sale-3
20.0,100.0,-100.0,134500.0,sale-3
21.0,100.0,115.0,146000.0,sale-3
22.0,100.0,-100.0,157700.0,sale-3
23.0,100.0,120.0,169700.0,sale-3
24.0,,123.0,182000.0,sale-3
25.0,100.0,123.0,194300.0,sale-3
26.0,100.0,125.0,206800.0,
27.0,,128.0,219600.0,sale-3
28.0,100.0,129.0,232500.0,sale-3
29.0,100.0,136.0,,sale-3
30.0,100.0,139.0,-100.0,sale-3
-100.0,100.0,144.0,,sale-3
32.0,100.0,-100.0,288900.0,sale-3
33.0,100.0,148.0,303700.0,sale-3
34.0,100.0,149.0,-100.0,sale-3
0.0,200.0,15.0,3000.0,sale-4
1.0,200.0,20.0,7000.0,sale-4
2.0,,21.0,11200.0,sale-4
3.0,200.0,23.0,15800.0,sale-4
4.0,200.0,24.0,20600.0,sale-4
5.0,200.0,27.0,26000.0,sale-4
6.0,200.0,33.0,32600.0,sale-4
7.0,200.0,36.0,,sale-4
8.0,200.0,43.0,48400.0,sale-4
9.0,200.0,49.0,58200.0,sale-4
10.0,200.0,53.0,68800.0,sale-4
11.0,200.0,59.0,80600.0,sale-4
12.0,200.0,,-100.0,sale-4
13.0,200.0,68.0,107000.0,sale-4
14.0,200.0,75.0,122000.0,sale-4
15.0,200.0,80.0,138000.0,sale-4
16.0,200.0,87.0,155400.0,sale-4
-100.0,200.0,91.0,173600.0,sale-4
18.0,200.0,95.0,192600.0,sale-4
19.0,200.0,99.0,212400.0,sale-4
20.0,200.0,-100.0,232800.0,sale-4
21.0,200.0,104.0,253600.0,sale-4
22.0,200.0,-100.0,274800.0,sale-4
23.0,200.0,109.0,296600.0,sale-4
24.0,,112.0,319000.0,sale-4
25.0,200.0,112.0,341400.0,sale-4
26.0,200.0,114.0,364200.0,
27.0,,117.0,387600.0,sale-4
28.0,200.0,118.0,411200.0,sale-4
29.0,200.0,125.0,,sale-4
30.0,200.0,128.0,-100.0,sale-4
-100.0,200.0,133.0,,sale-4
32.0,200.0,-100.0,515200.0,sale-4
33.0,200.0,137.0,542600.0,sale-4
34.0,200.0,138.0,-100.0,sale-4
0.0,400.0,1.0,400.0,sale-5
1.0,400.0,1.0,800.0,sale-5
2.0,,1.0,1200.0,sale-5
3.0,400.0,1.0,1600.0,sale-5
4.0,400.0,1.0,2000.0,sale-5
5.0,400.0,2.0,2800.0,sale-5
6.0,400.0,2.0,3600.0,sale-5
7.0,400.0,2.0,,sale-5
8.0,400.0,3.0,5600.0,sale-5
9.0,400.0,5.0,7600.0,sale-5
10.0,400.0,7.0,10400.0,sale-5
11.0,400.0,11.0,14800.0,sale-5
12.0,400.0,,-100.0,sale-5
13.0,400.0,13.0,24400.0,sale-5
14.0,400.0,17.0,31200.0,sale-5
15.0,400.0,18.0,38400.0,sale-5
16.0,400.0,20.0,46400.0,sale-5
-100.0,400.0,22.0,55200.0,sale-5
18.0,400.0,23.0,64400.0,sale-5
19.0,400.0,24.0,74000.0,sale-5
20.0,400.0,-100.0,83600.0,sale-5
21.0,400.0,25.0,93600.0,sale-5
22.0,400.0,-100.0,104400.0,sale-5
23.0,400.0,30.0,116400.0,sale-5
24.0,,33.0,129600.0,sale-5
25.0,400.0,33.0,142800.0,sale-5
26.0,400.0,35.0,156800.0,
27.0,,38.0,172000.0,sale-5
28.0,400.0,39.0,187600.0,sale-5
29.0,400.0,45.0,,sale-5
30.0,400.0,48.0,-100.0,sale-5
-100.0,400.0,53.0,,sale-5
32.0,400.0,-100.0,267200.0,sale-5
33.0,400.0,56.0,289600.0,sale-5
34.0,400.0,57.0,-100.0,sale-5
